UF,MUNICIPIO,BAIRRO,ENDERAG,CEP_,LATITUDE2,LONGITUD2,Base Referencia,lat_lng,Agencia,Lat,Long,cluster
MG,ANDRADAS,CENTRO,R CEL OLIVEIRA 334,37795-000,-22.071.428,-46.572.107,Uberaba,"(-22.0716602, -46.5741687)",53,-22.0716602,-46.5741687,1
MG,BELO HORIZONTE,CENTRO,R DOS TUPINAMBAS 364,30120-903,-19.918.052,-43.937.557,Belo Horizonte,"(-19.917919, -43.9376827)",84,-19.917919,-43.9376827,0
MG,ITAMOGI,CENTRO,PCA S JOAO BATISTA 567,37955-000,-21.093.284,-47.043.731,Uberaba,"(-21.0787458, -47.0490631)",103,-21.0787458,-47.0490631,1
MG,ITAU DE MINAS,CENTRO,R DR JOSE BALBINO 558,37975-000,-20.743.528,-46.751.721,Uberaba,"(-20.743609, -46.7517449)",104,-20.743609,-46.7517449,1
MG,ITUIUTABA,CENTRO,R VINTE 910,38300-142,-18.996.803,-49.459.905,Uberaba,"(-18.9720865, -49.4642776)",106,-18.9720865,-49.4642776,1
MG,MONTE S DE MINAS,CENTRO,AV CEL A P DA COSTA 200,37958-000,-21.191.564,-46.977.056,Uberaba,"(-21.1912708, -46.9769232)",115,-21.1912708,-46.9769232,1
MG,PASSOS,CENTRO,AV AROUCA 655,37900-152,-20.719.227,-46.607.273,Uberaba,"(-20.7189951, -46.6073889)",120,-20.7189951,-46.6073889,1
MG,SAO SEB DO PARAISO,CENTRO,TRAV ALFERE PATRICIO 207,37950-000,-20.918.089,-46.989.296,Uberaba,"(-20.9178776, -46.9892573)",133,-20.9178776,-46.9892573,1
MG,UBERLANDIA,CENTRO,PCA TUBAL VILELA 222,38400-088,-18.920.334,-48.278.398,Uberaba,"(-18.920958, -48.2775938)",148,-18.920958,-48.2775938,1
MG,TEOFILO OTONI,CENTRO,R TEODORICO TOURINHO 303,39800-010,-17.866.478,-41.507.058,Belo Horizonte,"(-17.8666913, -41.5071769)",172,-17.8666913,-41.5071769,2
MG,GOV VALADARES,CENTRO,AV MINAS GERAIS 252,35010-150,-18.856.312,-41.944.670,Belo Horizonte,"(-18.8567598, -41.9440224)",219,-18.8567598,-41.9440224,2
MG,MONTES CLAROS,CENTRO,R CARLOS GOMES 76,39400-042,-16.721.410,-43.864.682,Belo Horizonte,"(-16.7216025, -43.8651207)",238,-16.7216025,-43.8651207,2
MG,POCOS DE CALDAS,CENTRO,PCA MJ LUIZ LOYOLLA 10,37701-003,-21.788.172,-46.568.322,Uberaba,"(-21.7866139, -46.5818902)",267,-21.7866139,-46.5818902,1
MG,CATAGUASES,CENTRO,R CEL VIEIRA 9,36770-028,-21.389.157,-42.694.826,Belo Horizonte,"(-21.3910384, -42.7113369)",275,-21.3910384,-42.7113369,0
MG,UBERABA,ESTADOS UNIDOS,AV LEOPOLDINO OLIV 3379,38015-000,-19.748.717,-47.935.046,Uberaba,"(-19.750005, -47.9342275)",321,-19.750005,-47.9342275,1
MG,JUIZ DE FORA,CENTRO,AV BAR DO R BRANCO 2334,36016-310,-21.763.010,-43.349.693,Belo Horizonte,"(-21.7622499, -43.3497377)",352,-21.7622499,-43.3497377,0
MG,ALPINOPOLIS,CENTRO,AV GOV VALADARES 218,37940-000,-20.856.102,-46.382.408,Uberaba,"(-20.8629493, -46.3904243)",353,-20.8629493,-46.3904243,1
MG,BELO HORIZONTE,CENTRO,PCA RAUL SOARES 144LJBEF,30180-030,-19.923.082,-43.945.789,Belo Horizonte,"(-19.9226034, -43.9444358)",573,-19.9226034,-43.9444358,0
MG,BARROSO,CENTRO,PCA SANTANA 71,36212-000,-21.187.513,-43.975.686,Belo Horizonte,"(-21.1874817, -43.97721920000001)",586,-21.1874817,-43.97721920000001,0
MG,BELO HORIZONTE,STA EFIGENIA,R PADRE MARINHO 430,30140-040,-19.925.249,-43.923.958,Belo Horizonte,"(-19.9251881, -43.92396069999999)",587,-19.9251881,-43.92396069999999,0
MG,SAO JOAO DEL REI,CENTRO,AV PRES TANCR NEVES 197,36300-195,-21.133.946,-44.259.059,Belo Horizonte,"(-21.1362111, -44.2576421)",594,-21.1362111,-44.2576421,0
MG,SANTA LUZIA,CENTRO,R DO COMERCIO 50,33030-000,-19.756.217,-43.883.316,Belo Horizonte,"(-19.7693065, -43.8712399)",625,-19.7693065,-43.8712399,0
MG,CONTAGEM,CENTRO,AV CARDEAL E PACELLI 735,32210-000,-19.958.445,-44.031.410,Belo Horizonte,"(-19.9520288, -44.01688619999999)",634,-19.9520288,-44.01688619999999,0
MG,BELO HORIZONTE,CENTRO,AV AFONSO PENA 270,30170-120,-19.946.714,-43.921.787,Belo Horizonte,"(-19.9163208, -43.9408102)",637,-19.9163208,-43.9408102,0
MG,BELO HORIZONTE,GUTIERREZ,AV FCO SA 1196,30430-040,-19.932980,-43.959026,Belo Horizonte,"(-19.9328485, -43.9589584)",3053,-19.9328485,-43.9589584,0
MG,ARAGUARI,CENTRO,R RUI BARBOSA 37,38440-222,-18.649.343,-48.191.293,Uberaba,"(-18.649238, -48.191567)",653,-18.649238,-48.191567,1
